Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0035869~ciliary transition zone	5	0.4444444444444444	0.05633164306203618	TRAF3IP1, NPHP1, B9D1, CDKL1, TMEM231	1093	40	30060	3.437785910338518	1.0	0.33896109359742466	0.30302539026474634
GOTERM_MF_DIRECT	GO:0031267~small GTPase binding	18	1.6	0.05643269300888116	DENND1B, TAMALIN, MAP2K1, RIC1, HACE1, CSE1L, ARHGAP1, CDC42BPB, IQGAP2, NDRG1, FGD1, DOCK10, EHD1, DIAPH2, RILPL2, RILPL1, PDE6D, DGKI	1077	302	29205	1.6162445350403072	1.0	0.5571046922013042	0.5360541634098666
GOTERM_MF_DIRECT	GO:0005248~voltage-gated sodium channel activity	4	0.35555555555555557	0.05678747301876212	NALCN, SCN3A, CACNA1H, HCN1	1077	24	29205	4.5194986072423395	1.0	0.5571046922013042	0.5360541634098666
GOTERM_MF_DIRECT	GO:0005242~inward rectifier potassium channel activity	4	0.35555555555555557	0.05678747301876212	KCNJ4, KCNJ6, KCNJ9, KCNJ2	1077	24	29205	4.5194986072423395	1.0	0.5571046922013042	0.5360541634098666
GOTERM_MF_DIRECT	GO:0047555~3',5'-cyclic-GMP phosphodiesterase activity	4	0.35555555555555557	0.05678747301876212	PDE1B, PDE1A, PDE6D, PDE7B	1077	24	29205	4.5194986072423395	1.0	0.5571046922013042	0.5360541634098666
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	7	0.6222222222222222	0.05751719670093076	C2CD5, MAP2K1, IRS1, AKT2, COL6A1, MAPK1, FOXO1	1084	76	29878	2.5386725577782094	1.0	0.699769839549128	0.686712373423507
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	9	0.8	0.05794299403182044	NOP56, RIOX1, NVL, MTG2, GRWD1, MRTO4, DDX31, TSR1, SNU13	1084	115	29878	2.1570832664848387	1.0	0.699769839549128	0.686712373423507
KEGG_PATHWAY	mmu04330:Notch signaling pathway	7	0.6222222222222222	0.05803109066829681	TLE4, NOTCH2, APH1A, NCOR2, MAML2, EP300, CIR1	429	63	9718	2.5169645169645167	0.9999999780826642	0.32645519036343085	0.29447140482106776
GOTERM_BP_DIRECT	GO:0071313~cellular response to caffeine	3	0.26666666666666666	0.05811491965769368	RYR1, RYR2, SLC8A1	1084	11	29878	7.517108352901711	1.0	0.699769839549128	0.686712373423507
GOTERM_BP_DIRECT	GO:0010881~regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	3	0.26666666666666666	0.05811491965769368	RYR2, CACNA1C, SLC8A1	1084	11	29878	7.517108352901711	1.0	0.699769839549128	0.686712373423507
GOTERM_BP_DIRECT	GO:0046834~lipid phosphorylation	3	0.26666666666666666	0.05811491965769368	DGKG, DGKI, DGKH	1084	11	29878	7.517108352901711	1.0	0.699769839549128	0.686712373423507
GOTERM_BP_DIRECT	GO:0098911~regulation of ventricular cardiac muscle cell action potential	3	0.26666666666666666	0.05811491965769368	DSP, RYR2, CACNA1C	1084	11	29878	7.517108352901711	1.0	0.699769839549128	0.686712373423507
KEGG_PATHWAY	mmu05161:Hepatitis B	13	1.1555555555555554	0.05815757281573895	MAP2K1, JUN, SMAD3, APAF1, PRKCB, ELK1, TGFBR2, AKT2, MAPK1, EP300, PTK2B, TAB1, MAP2K6	429	164	9718	1.795639320029564	0.9999999789339159	0.32645519036343085	0.29447140482106776
