Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu05211:Renal cell carcinoma	4	1.2048192771084338	0.08659838005076609	NRAS, JUN, GAB1, SOS1	146	70	9718	3.8035225048923675	0.9999999995659867	1.0	1.0
KEGG_PATHWAY	mmu04150:mTOR signaling pathway	6	1.8072289156626504	0.08745499626746117	NRAS, RRAGD, SOS1, SGK1, EIF4B, LRP6	146	158	9718	2.527657360846194	0.9999999996528466	1.0	1.0
GOTERM_BP_DIRECT	GO:1904707~positive regulation of vascular associated smooth muscle cell proliferation	3	0.9036144578313252	0.08787852903197206	JUN, HTR1B, AGT	330	45	29878	6.0359595959595955	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0006605~protein targeting	3	0.9036144578313252	0.08787852903197206	PAN3, ERBIN, HAP1	330	45	29878	6.0359595959595955	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0016339~calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	3	0.9036144578313252	0.08787852903197206	CDH22, PCDH1, CDH9	330	45	29878	6.0359595959595955	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	7	2.108433734939759	0.08928630974845564	GGA2, LGALS3BP, RINT1, COPB1, MYO5B, TRAPPC5, AP1S2	330	279	29878	2.271597697404149	1.0	1.0	0.9965534219596258
KEGG_PATHWAY	mmu04710:Circadian rhythm	3	0.9036144578313252	0.09100998269340921	CREB1, FBXW11, BHLHE40	146	34	9718	5.873086220789686	0.99999999986289	1.0	1.0
GOTERM_CC_DIRECT	GO:0005923~bicellular tight junction	5	1.5060240963855422	0.09110181053267598	CLDN11, SHROOM2, ILDR2, FRMD4B, CYTH1	330	155	30060	2.93841642228739	1.0	0.4686803987644897	0.42038546306042046
GOTERM_CC_DIRECT	GO:0030672~synaptic vesicle membrane	5	1.5060240963855422	0.09110181053267598	SYNPR, MCTP1, SYT2, ATP8A1, SYN1	330	155	30060	2.93841642228739	1.0	0.4686803987644897	0.42038546306042046
GOTERM_BP_DIRECT	GO:0001662~behavioral fear response	3	0.9036144578313252	0.09122923451693381	NPY2R, PENK, GRIK2	330	46	29878	5.904743083003953	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0061564~axon development	3	0.9036144578313252	0.09122923451693381	KCNA1, PLP1, TSPAN2	330	46	29878	5.904743083003953	1.0	1.0	0.9965534219596258
KEGG_PATHWAY	mmu00562:Inositol phosphate metabolism	4	1.2048192771084338	0.09239335412584923	IPPK, INPP4B, PIKFYVE, PIP5K1B	146	72	9718	3.6978691019786907	0.9999999999045788	1.0	1.0
KEGG_PATHWAY	mmu01100:Metabolic pathways	32	9.63855421686747	0.09279681138643639	IPPK, GLO1, GMPS, XYLT1, MSMO1, NUDT5, CYP26B1, NDST4, ENPP2, PIP5K1B, CAR12, PTGDS, CERS4, ST6GAL1, ADSL, CERS6, B3GAT1, DHCR24, SIRT7, TRIT1, MGAT4C, INPP4B, PIGB, PFKL, PIKFYVE, DHCR7, BCAT1, GSTM7, ASPA, EZH1, CERS2, DGKH	146	1642	9718	1.2971818530692605	0.9999999999141606	1.0	1.0
KEGG_PATHWAY	mmu04148:Efferocytosis	6	1.8072289156626504	0.09294917764408756	DUSP5, CREB1, ATP8A1, SGK1, ANO3, HAVCR2	146	161	9718	2.4805581553645877	0.9999999999175243	1.0	1.0
GOTERM_CC_DIRECT	GO:0016342~catenin complex	3	0.9036144578313252	0.09365431911025925	CDH22, PCDH1, CDH9	330	47	30060	5.81431334622824	1.0	0.47047522658918467	0.42199534375563874
GOTERM_CC_DIRECT	GO:0032420~stereocilium	3	0.9036144578313252	0.09365431911025925	SLC4A7, CIB2, PLS1	330	47	30060	5.81431334622824	1.0	0.47047522658918467	0.42199534375563874
GOTERM_BP_DIRECT	GO:0043410~positive regulation of MAPK cascade	6	1.8072289156626504	0.09416095328205212	GPR37, GAB1, BNIP2, FGFR3, GRM1, AGT	330	218	29878	2.4919099249374477	1.0	1.0	0.9965534219596258
GOTERM_MF_DIRECT	GO:0042054~histone methyltransferase activity	3	0.9036144578313252	0.09432224072328116	SUZ12, PRDM8, EZH1	322	47	29205	5.789282410466499	1.0	0.9505756266162142	0.9373502265937278
GOTERM_BP_DIRECT	GO:0043113~receptor clustering	3	0.9036144578313252	0.09461685556589759	ERBIN, IFT122, GRIK2	330	47	29878	5.7791102514506765	1.0	1.0	0.9965534219596258
GOTERM_MF_DIRECT	GO:0099626~voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels	2	0.6024096385542169	0.094694453598889	HTR1B, CACNA1D	322	9	29205	20.15527950310559	1.0	0.9505756266162142	0.9373502265937278
GOTERM_MF_DIRECT	GO:0004000~adenosine deaminase activity	2	0.6024096385542169	0.094694453598889	ADARB1, ADARB2	322	9	29205	20.15527950310559	1.0	0.9505756266162142	0.9373502265937278
GOTERM_MF_DIRECT	GO:0004862~cAMP-dependent protein kinase inhibitor activity	2	0.6024096385542169	0.094694453598889	PKIA, PKIG	322	9	29205	20.15527950310559	1.0	0.9505756266162142	0.9373502265937278
GOTERM_MF_DIRECT	GO:0052742~phosphatidylinositol kinase activity	2	0.6024096385542169	0.094694453598889	PIKFYVE, PIP5K1B	322	9	29205	20.15527950310559	1.0	0.9505756266162142	0.9373502265937278
GOTERM_BP_DIRECT	GO:0006177~GMP biosynthetic process	2	0.6024096385542169	0.09486041496620107	ADSL, GMPS	330	9	29878	20.11986531986532	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0097553~calcium ion transmembrane import into cytosol	2	0.6024096385542169	0.09486041496620107	RYR2, CCN2	330	9	29878	20.11986531986532	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0050650~chondroitin sulfate proteoglycan biosynthetic process	2	0.6024096385542169	0.09486041496620107	B3GAT1, XYLT1	330	9	29878	20.11986531986532	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0014029~neural crest formation	2	0.6024096385542169	0.09486041496620107	PEF1, LRP6	330	9	29878	20.11986531986532	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0032287~peripheral nervous system myelin maintenance	2	0.6024096385542169	0.09486041496620107	FA2H, NDRG1	330	9	29878	20.11986531986532	1.0	1.0	0.9965534219596258
GOTERM_MF_DIRECT	GO:0031490~chromatin DNA binding	4	1.2048192771084338	0.09588415016302683	DDX17, SUZ12, H1F2, OGT	322	99	29205	3.6645962732919255	1.0	0.9505756266162142	0.9373502265937278
GOTERM_MF_DIRECT	GO:0004869~cysteine-type endopeptidase inhibitor activity	3	0.9036144578313252	0.09773619004443891	PTTG1, BIRC6, CST7	322	48	29205	5.668672360248447	1.0	0.952513716534786	0.9392613517829977
GOTERM_BP_DIRECT	GO:2000300~regulation of synaptic vesicle exocytosis	3	0.9036144578313252	0.09804017902364157	RIMS1, HTR1B, SYN1	330	48	29878	5.658712121212121	1.0	1.0	0.9965534219596258
GOTERM_BP_DIRECT	GO:0007179~transforming growth factor beta receptor signaling pathway	4	1.2048192771084338	0.09849907209295479	DUSP22, JUN, CREB1, ZMIZ1	330	100	29878	3.6215757575757577	1.0	1.0	0.9965534219596258
